Price,ROM儲存空間,主螢幕尺寸,主相機畫素,主相機光學防手震,主相機UHD 4K錄影,第二主相機畫素,前相機畫素,前相機UHD 4K錄影,NFC,快充功率,無線充電,機身長度,機身寬度,機身厚度,機身重量,防水防塵等級,機身顏色,Brand,第三主相機畫素,RAM記憶體,電池容量,主相機8K錄影,3.5mm耳機孔,記憶卡,RAW檔拍攝,可替換電池,無線反向充電,第四主相機畫素,副螢幕觸控,第二前相機畫素,soc_s,soc_m,resolution_x,resolution_y,OLED,90Hz,120Hz,144Hz,Wifi5G,Wifi6,bt5.0,bt5.1,bt5.2,bt4.2,UFS,cam_back_num,glass,plastic,摺疊螢幕,USB3
2000,4,2.8,2.0,False,False,0.0,0.0,False,False,10.0,False,106.0,55.0,20.0,110.0,False,2,mto,0.0,0.5,1500,False,True,True,False,True,False,0.0,False,0.0,103,343,320,240,False,False,False,False,,,False,False,False,False,False,1,False,False,False,False
2590,4,2.8,2.0,False,False,0.0,0.0,False,False,10.0,False,104.8,54.5,18.7,118.0,False,2,nokia,0.0,0.5,1500,False,True,True,False,True,False,0.0,False,0.0,93,428,320,240,False,False,False,False,False,False,False,False,False,True,False,1,False,False,False,False
3700,64,6.39,13.0,False,False,5.0,8.0,False,True,10.0,False,160.97,75.99,8.7,180.0,False,3,nokia,2.0,3.0,4000,False,True,True,False,False,False,0.0,False,0.0,249,1135,1560,720,False,False,False,False,False,False,False,False,False,True,False,3,False,False,False,False
5390,64,6.39,48.0,False,False,5.0,16.0,False,True,10.0,False,160.97,75.99,8.7,180.0,False,2,nokia,2.0,6.0,4000,False,True,True,False,False,False,2.0,False,0.0,309,1354,1560,720,False,False,False,False,False,False,False,False,False,True,False,4,False,True,False,False
7500,128,6.3,48.0,False,True,5.0,20.0,False,True,10.0,False,159.92,75.15,8.25,180.0,False,3,nokia,8.0,6.0,3500,False,True,True,True,False,False,0.0,False,0.0,334,1466,2280,1080,False,False,False,False,True,False,True,False,False,False,False,3,False,False,False,False
6990,128,6.82,48.0,False,False,5.0,8.0,False,True,18.0,False,173.83,77.68,8.85,220.0,False,2,nokia,2.0,6.0,5000,False,True,True,False,False,False,0.0,False,0.0,503,1643,1640,720,False,False,False,False,True,False,True,False,False,False,True,3,False,True,False,False
3800,64,6.5,13.0,False,False,2.0,16.0,False,False,18.0,False,163.9,75.1,8.4,186.0,False,2,oppo,2.0,4.0,5000,False,False,True,False,False,False,0.0,False,0.0,249,1135,1600,720,False,False,False,False,True,False,True,False,False,False,False,3,False,False,False,False
3890,64,6.51,13.0,False,False,2.0,16.0,False,False,18.0,False,163.6,75.7,8.4,192.0,True,2,oppo,2.0,4.0,5000,False,True,True,False,False,False,0.0,False,0.0,170,980,1600,720,False,False,False,False,True,False,True,False,False,False,False,3,False,False,False,False
3990,64,6.51,50.0,False,False,2.0,16.0,False,False,18.0,False,163.6,75.7,8.4,193.0,True,2,oppo,2.0,4.0,5000,False,True,True,False,False,False,0.0,False,0.0,175,689,1600,720,False,False,False,False,True,False,True,False,False,False,False,3,False,True,False,False
5350,128,6.5,48.0,False,True,8.0,16.0,True,True,18.0,False,162.0,75.5,8.9,192.0,False,2,oppo,2.0,4.0,5000,False,True,True,False,False,False,2.0,False,0.0,306,1291,2400,1080,False,False,False,False,True,False,True,False,False,False,False,4,False,False,False,False
